code,title,code_title
35.20.00,Waterway and Marine Construction and Equipment,35.20.00 - Waterway and Marine Construction and Equipment
35.30.00,Coastal Construction,35.30.00 - Coastal Construction
35.31.00,Shoreline Protection,35.31.00 - Shoreline Protection
35.32.00,Artificial Reefs,35.32.00 - Artificial Reefs
35.40.00,Waterway Construction and Equipment,35.40.00 - Waterway Construction and Equipment
35.41.00,Levees,35.41.00 - Levees
35.42.00,Waterway Bank Protection,35.42.00 - Waterway Bank Protection
35.43.00,Waterway Scour Protection,35.43.00 - Waterway Scour Protection
35.49.00,Waterway Structures,35.49.00 - Waterway Structures
35.50.00,Marine Construction and Equipment,35.50.00 - Marine Construction and Equipment
35.51.00,Floating Construction,35.51.00 - Floating Construction
35.52.00,Offshore Platform Construction,35.52.00 - Offshore Platform Construction
35.53.00,Underwater Construction,35.53.00 - Underwater Construction
35.59.00,Marine Specialties,35.59.00 - Marine Specialties
35.60.00,Unassigned,35.60.00 - Unassigned
35.70.00,Dam Construction and Equipment,35.70.00 - Dam Construction and Equipment
35.71.00,Gravity Dams,35.71.00 - Gravity Dams
35.72.00,Arch Dams,35.72.00 - Arch Dams
35.73.00,Embankment Dams,35.73.00 - Embankment Dams
35.74.00,Buttress Dams,35.74.00 - Buttress Dams
35.79.00,Auxiliary Dam Structures,35.79.00 - Auxiliary Dam Structures
35.80.00,Unassigned,35.80.00 - Unassigned
35.90.00,Unassigned,35.90.00 - Unassigned
40.00.00,Process Integration,40.00.00 - Process Integration
40.01.00,Operation and Maintenance of Process Integration,40.01.00 - Operation and Maintenance of Process Integration
40.05.00,Common Work Results for Process Integration,40.05.00 - Common Work Results for Process Integration
40.06.00,Schedules for Process Integration,40.06.00 - Schedules for Process Integration
40.10.00,Gas and Vapor Process Piping,40.10.00 - Gas and Vapor Process Piping
40.11.00,Steam Process Piping,40.11.00 - Steam Process Piping
40.12.00,Compressed Air Process Piping,40.12.00 - Compressed Air Process Piping
40.13.00,Inert Gases Process Piping,40.13.00 - Inert Gases Process Piping
40.14.00,Fuel Gases Process Piping,40.14.00 - Fuel Gases Process Piping
40.15.00,Combustion System Gas Piping,40.15.00 - Combustion System Gas Piping
40.16.00,Specialty and High-Purity Gases Piping,40.16.00 - Specialty and High-Purity Gases Piping
40.17.00,Welding and Cutting Gases Piping,40.17.00 - Welding and Cutting Gases Piping
40.18.00,Vacuum Systems Process Piping,40.18.00 - Vacuum Systems Process Piping
40.20.00,Liquids Process Piping,40.20.00 - Liquids Process Piping
40.21.00,Liquid Fuel Process Piping,40.21.00 - Liquid Fuel Process Piping
40.22.00,Petroleum Products Piping,40.22.00 - Petroleum Products Piping
40.23.00,Water Process Piping,40.23.00 - Water Process Piping
40.24.00,Specialty Liquid Chemicals Piping,40.24.00 - Specialty Liquid Chemicals Piping
40.25.00,Liquid Acids and Bases Piping,40.25.00 - Liquid Acids and Bases Piping
40.26.00,Liquid Polymer Piping,40.26.00 - Liquid Polymer Piping
40.30.00,Solid and Mixed Materials Piping and Chutes,40.30.00 - Solid and Mixed Materials Piping and Chutes
40.32.00,Bulk Materials Piping and Chutes,40.32.00 - Bulk Materials Piping and Chutes
40.33.00,Bulk Materials Valves,40.33.00 - Bulk Materials Valves
40.34.00,Pneumatic Conveying Lines,40.34.00 - Pneumatic Conveying Lines
40.40.00,Process Piping and Equipment Protection,40.40.00 - Process Piping and Equipment Protection
40.41.00,Process Piping and Equipment Heat Tracing,40.41.00 - Process Piping and Equipment Heat Tracing
40.42.00,Process Piping and Equipment Insulation,40.42.00 - Process Piping and Equipment Insulation
40.46.00,Process Corrosion Protection,40.46.00 - Process Corrosion Protection
40.47.00,Refractories,40.47.00 - Refractories
40.50.00,Unassigned,40.50.00 - Unassigned
40.60.00,Unassigned,40.60.00 - Unassigned
40.70.00,Unassigned,40.70.00 - Unassigned
40.80.00,Commissioning of Process Systems,40.80.00 - Commissioning of Process Systems
40.90.00,Instrumentation and Control for Process Systems,40.90.00 - Instrumentation and Control for Process Systems
40.91.00,Primary Process Measurement Devices,40.91.00 - Primary Process Measurement Devices
40.92.00,Primary Control Devices,40.92.00 - Primary Control Devices
40.93.00,Analog Controllers/Recorders,40.93.00 - Analog Controllers/Recorders
40.94.00,Digital Process Controllers,40.94.00 - Digital Process Controllers
40.95.00,Process Control Hardware,40.95.00 - Process Control Hardware
40.96.00,Process Control Software,40.96.00 - Process Control Software
40.97.00,Process Control Auxiliary Devices,40.97.00 - Process Control Auxiliary Devices
41.00.00,Material Processing and Handling Equipment,41.00.00 - Material Processing and Handling Equipment
41.01.00,Operation and Maintenance of Material Processing and Handling Equipment,41.01.00 - Operation and Maintenance of Material Processing and Handling Equipment
41.06.00,Schedules for Material Processing and Handling Equipment,41.06.00 - Schedules for Material Processing and Handling Equipment
41.08.00,Commissioning of Material Processing and Handling Equipment,41.08.00 - Commissioning of Material Processing and Handling Equipment
41.10.00,Bulk Material Processing Equipment,41.10.00 - Bulk Material Processing Equipment
41.11.00,Bulk Material Sizing Equipment,41.11.00 - Bulk Material Sizing Equipment
41.12.00,Bulk Material Conveying Equipment,41.12.00 - Bulk Material Conveying Equipment
41.13.00,Bulk Material Feeders,41.13.00 - Bulk Material Feeders
41.14.00,Batching Equipment,41.14.00 - Batching Equipment
41.20.00,Piece Material Handling Equipment,41.20.00 - Piece Material Handling Equipment
41.21.00,Conveyors,41.21.00 - Conveyors
41.22.00,Cranes and Hoists,41.22.00 - Cranes and Hoists
41.23.00,Lifting Devices,41.23.00 - Lifting Devices
41.24.00,Specialty Material Handling Equipment,41.24.00 - Specialty Material Handling Equipment
41.30.00,Manufacturing Equipment,41.30.00 - Manufacturing Equipment
41.31.00,Manufacturing Lines and Equipment,41.31.00 - Manufacturing Lines and Equipment
41.32.00,Forming Equipment,41.32.00 - Forming Equipment
41.33.00,Machining Equipment,41.33.00 - Machining Equipment
41.34.00,Finishing Equipment,41.34.00 - Finishing Equipment
41.35.00,Dies and Molds,41.35.00 - Dies and Molds
41.36.00,Assembly and Testing Equipment,41.36.00 - Assembly and Testing Equipment
41.40.00,Container Processing and Packaging,41.40.00 - Container Processing and Packaging
41.41.00,Container Filling and Sealing,41.41.00 - Container Filling and Sealing
41.42.00,Container Packing Equipment,41.42.00 - Container Packing Equipment
41.43.00,Shipping Packaging,41.43.00 - Shipping Packaging
41.50.00,Material Storage,41.50.00 - Material Storage
41.51.00,Automatic Material Storage,41.51.00 - Automatic Material Storage
41.52.00,Bulk Material Storage,41.52.00 - Bulk Material Storage
41.53.00,Storage Equipment and Systems,41.53.00 - Storage Equipment and Systems
41.60.00,Mobile Plant Equipment,41.60.00 - Mobile Plant Equipment
41.61.00,Mobile Earth Moving Equipment,41.61.00 - Mobile Earth Moving Equipment
41.62.00,Trucks,41.62.00 - Trucks
41.63.00,General Vehicles,41.63.00 - General Vehicles
41.64.00,Rail Vehicles,41.64.00 - Rail Vehicles
41.65.00,Mobile Support Equipment,41.65.00 - Mobile Support Equipment
41.66.00,Miscellaneous Mobile Equipment,41.66.00 - Miscellaneous Mobile Equipment
41.67.00,Plant Maintenance Equipment,41.67.00 - Plant Maintenance Equipment
41.70.00,Unassigned,41.70.00 - Unassigned
41.80.00,Unassigned,41.80.00 - Unassigned
41.90.00,Unassigned,41.90.00 - Unassigned
42.00.00,"Process Heating, Cooling, and Drying Equipment","42.00.00 - Process Heating, Cooling, and Drying Equipment"
42.01.00,"Operation and Maintenance of Process Heating, Cooling, and Drying Equipment","42.01.00 - Operation and Maintenance of Process Heating, Cooling, and Drying Equipment"
42.06.00,"Schedules for Process Heating, Cooling, and Drying Equipment","42.06.00 - Schedules for Process Heating, Cooling, and Drying Equipment"
42.08.00,"Commissioning of Process Heating, Cooling, and Drying Equipment","42.08.00 - Commissioning of Process Heating, Cooling, and Drying Equipment"
42.10.00,Process Heating Equipment,42.10.00 - Process Heating Equipment
42.11.00,Process Boilers,42.11.00 - Process Boilers
42.12.00,Process Heaters,42.12.00 - Process Heaters
42.13.00,Industrial Heat Exchangers and Recuperators,42.13.00 - Industrial Heat Exchangers and Recuperators
42.14.00,Industrial Furnaces,42.14.00 - Industrial Furnaces
42.15.00,Industrial Ovens,42.15.00 - Industrial Ovens
42.20.00,Process Cooling Equipment,42.20.00 - Process Cooling Equipment
42.21.00,Process Cooling Towers,42.21.00 - Process Cooling Towers
42.22.00,Process Chillers and Coolers,42.22.00 - Process Chillers and Coolers
42.23.00,Process Condensers and Evaporators,42.23.00 - Process Condensers and Evaporators
42.30.00,Process Drying Equipment,42.30.00 - Process Drying Equipment
42.31.00,Gas Dryers and Dehumidifiers,42.31.00 - Gas Dryers and Dehumidifiers
42.32.00,Material Dryers,42.32.00 - Material Dryers
42.40.00,Unassigned,42.40.00 - Unassigned
42.50.00,Unassigned,42.50.00 - Unassigned
42.60.00,Unassigned,42.60.00 - Unassigned
42.70.00,Unassigned,42.70.00 - Unassigned
42.80.00,Unassigned,42.80.00 - Unassigned
42.90.00,Unassigned,42.90.00 - Unassigned
43.00.00,"Process Gas and Liquid Handling, Purification, and Storage Equipment","43.00.00 - Process Gas and Liquid Handling, Purification, and Storage Equipment"
43.01.00,"Operation and Maintenance of Process Gas and Liquid Handling, Purification, and Storage Equipment","43.01.00 - Operation and Maintenance of Process Gas and Liquid Handling, Purification, and Storage Equipment"
43.06.00,"Schedules for Process Gas and Liquid Handling, Purification, and Storage Equipment","43.06.00 - Schedules for Process Gas and Liquid Handling, Purification, and Storage Equipment"
43.08.00,"Commissioning of Process Gas and Liquid Handling, Purification, and Storage Equipment","43.08.00 - Commissioning of Process Gas and Liquid Handling, Purification, and Storage Equipment"
43.10.00,Gas Handling Equipment,43.10.00 - Gas Handling Equipment
43.11.00,"Gas Fans, Blowers and Pumps","43.11.00 - Gas Fans, Blowers and Pumps"
43.12.00,Gas Compressors,43.12.00 - Gas Compressors
43.13.00,Gas Process Equipment,43.13.00 - Gas Process Equipment
43.20.00,Liquid Handling Equipment,43.20.00 - Liquid Handling Equipment
43.21.00,Liquid Pumps,43.21.00 - Liquid Pumps
43.22.00,Liquid Process Equipment,43.22.00 - Liquid Process Equipment
43.30.00,Gas and Liquid Purification Equipment,43.30.00 - Gas and Liquid Purification Equipment
43.31.00,Gas and Liquid Purification Filtration Equipment,43.31.00 - Gas and Liquid Purification Filtration Equipment
43.32.00,Gas and Liquid Purification Process Equipment,43.32.00 - Gas and Liquid Purification Process Equipment
43.40.00,Gas and Liquid Storage,43.40.00 - Gas and Liquid Storage
43.41.00,Gas and Liquid Storage Equipment,43.41.00 - Gas and Liquid Storage Equipment
43.50.00,Unassigned,43.50.00 - Unassigned
43.60.00,Unassigned,43.60.00 - Unassigned
43.70.00,Unassigned,43.70.00 - Unassigned
43.80.00,Unassigned,43.80.00 - Unassigned
43.90.00,Unassigned,43.90.00 - Unassigned
44.00.00,Pollution Control Equipment,44.00.00 - Pollution Control Equipment
44.01.00,Operation and Maintenance of Pollution Control Equipment,44.01.00 - Operation and Maintenance of Pollution Control Equipment
44.06.00,Schedules for Pollution Control Equipment,44.06.00 - Schedules for Pollution Control Equipment
44.08.00,Commissioning of Pollution Control Equipment,44.08.00 - Commissioning of Pollution Control Equipment
44.10.00,Air Pollution Control,44.10.00 - Air Pollution Control
44.11.00,Air Pollution Control Equipment,44.11.00 - Air Pollution Control Equipment
44.20.00,Noise Pollution Control,44.20.00 - Noise Pollution Control
44.21.00,Noise Pollution Control Equipment,44.21.00 - Noise Pollution Control Equipment
44.40.00,Water Treatment Equipment,44.40.00 - Water Treatment Equipment
44.41.00,Packaged Water Treatment,44.41.00 - Packaged Water Treatment
44.42.00,General Water Treatment Equipment,44.42.00 - General Water Treatment Equipment
44.43.00,Water Filtration Equipment,44.43.00 - Water Filtration Equipment
44.44.00,Water Treatment Chemical Systems Equipment,44.44.00 - Water Treatment Chemical Systems Equipment
44.45.00,Water Treatment Biological Systems Equipment,44.45.00 - Water Treatment Biological Systems Equipment
44.46.00,Sludge Treatment and Handling Equipment for Water Treatment Systems,44.46.00 - Sludge Treatment and Handling Equipment for Water Treatment Systems
44.50.00,Solid Waste Control,44.50.00 - Solid Waste Control
44.51.00,Solid Waste Control Equipment,44.51.00 - Solid Waste Control Equipment
44.60.00,Unassigned,44.60.00 - Unassigned
44.70.00,Unassigned,44.70.00 - Unassigned
44.80.00,Unassigned,44.80.00 - Unassigned
44.90.00,Unassigned,44.90.00 - Unassigned
45.00.00,Industry-Specific Manufacturing Equipment,45.00.00 - Industry-Specific Manufacturing Equipment
45.08.00,Commissioning of Industry-Specific Manufacturing Equipment,45.08.00 - Commissioning of Industry-Specific Manufacturing Equipment
45.11.00,Oil and Gas Extraction Equipment,45.11.00 - Oil and Gas Extraction Equipment
45.13.00,Mining Machinery and Equipment,45.13.00 - Mining Machinery and Equipment
45.15.00,Food Manufacturing Equipment,45.15.00 - Food Manufacturing Equipment
45.17.00,Beverage and Tobacco Manufacturing Equipment,45.17.00 - Beverage and Tobacco Manufacturing Equipment
45.19.00,Textiles and Apparel Manufacturing Equipment,45.19.00 - Textiles and Apparel Manufacturing Equipment
45.21.00,Leather and Allied Product Manufacturing Equipment,45.21.00 - Leather and Allied Product Manufacturing Equipment
45.23.00,Wood Product Manufacturing Equipment,45.23.00 - Wood Product Manufacturing Equipment
45.25.00,Paper Manufacturing Equipment,45.25.00 - Paper Manufacturing Equipment
45.27.00,Printing and Related Manufacturing Equipment,45.27.00 - Printing and Related Manufacturing Equipment
45.29.00,Petroleum and Coal Products Manufacturing Equipment,45.29.00 - Petroleum and Coal Products Manufacturing Equipment
45.31.00,Chemical Manufacturing Equipment,45.31.00 - Chemical Manufacturing Equipment
45.33.00,Plastics and Rubber Manufacturing Equipment,45.33.00 - Plastics and Rubber Manufacturing Equipment
45.35.00,Nonmetallic Mineral Product Manufacturing Equipment,45.35.00 - Nonmetallic Mineral Product Manufacturing Equipment
45.37.00,Primary Metal Manufacturing Equipment,45.37.00 - Primary Metal Manufacturing Equipment
45.39.00,Fabricated Metal Product Manufacturing Equipment,45.39.00 - Fabricated Metal Product Manufacturing Equipment
45.41.00,Machinery Manufacturing Equipment,45.41.00 - Machinery Manufacturing Equipment
45.43.00,Computer and Electronic Product Manufacturing Equipment,45.43.00 - Computer and Electronic Product Manufacturing Equipment
45.45.00,"Electrical Equipment, Appliance, and Component Manufacturing Equipment","45.45.00 - Electrical Equipment, Appliance, and Component Manufacturing Equipment"
45.47.00,Transportation Manufacturing Equipment,45.47.00 - Transportation Manufacturing Equipment
45.49.00,Furniture and Related Product Manufacturing Equipment,45.49.00 - Furniture and Related Product Manufacturing Equipment
45.51.00,Other Manufacturing Equipment,45.51.00 - Other Manufacturing Equipment
45.60.00,Unassigned,45.60.00 - Unassigned
45.70.00,Unassigned,45.70.00 - Unassigned
45.80.00,Unassigned,45.80.00 - Unassigned
45.90.00,Unassigned,45.90.00 - Unassigned
48.00.00,Electrical Power Generation,48.00.00 - Electrical Power Generation
48.01.00,Operation and Maintenance for Electrical Power Generation,48.01.00 - Operation and Maintenance for Electrical Power Generation
48.05.00,Common Work Results for Electrical Power Generation,48.05.00 - Common Work Results for Electrical Power Generation
48.06.00,Schedules for Electrical Power Generation,48.06.00 - Schedules for Electrical Power Generation
48.08.00,Commissioning of Electrical Power Generation,48.08.00 - Commissioning of Electrical Power Generation
48.09.00,Instrumentation and Control for Electrical Power Generation,48.09.00 - Instrumentation and Control for Electrical Power Generation
48.10.00,Electrical Power Generation Equipment,48.10.00 - Electrical Power Generation Equipment
48.11.00,Fossil Fuel Plant Electrical Power Generation Equipment,48.11.00 - Fossil Fuel Plant Electrical Power Generation Equipment
48.12.00,Nuclear Fuel Plant Electrical Power Generation Equipment,48.12.00 - Nuclear Fuel Plant Electrical Power Generation Equipment
48.13.00,Hydroelectric Plant Electrical Power Generation Equipment,48.13.00 - Hydroelectric Plant Electrical Power Generation Equipment
48.14.00,Solar Energy Electrical Power Generation Equipment,48.14.00 - Solar Energy Electrical Power Generation Equipment
48.15.00,Wind Energy Electrical Power Generation Equipment,48.15.00 - Wind Energy Electrical Power Generation Equipment
48.16.00,Geothermal Energy Electrical Power Generation Equipment,48.16.00 - Geothermal Energy Electrical Power Generation Equipment
48.17.00,Electrochemical Energy Electrical Power Generation Equipment,48.17.00 - Electrochemical Energy Electrical Power Generation Equipment
48.18.00,Fuel Cell Electrical Power Generation Equipment,48.18.00 - Fuel Cell Electrical Power Generation Equipment
48.19.00,Electrical Power Control Equipment,48.19.00 - Electrical Power Control Equipment
48.20.00,Unassigned,48.20.00 - Unassigned
48.30.00,Unassigned,48.30.00 - Unassigned
48.40.00,Unassigned,48.40.00 - Unassigned
48.50.00,Unassigned,48.50.00 - Unassigned
48.60.00,Unassigned,48.60.00 - Unassigned
48.70.00,Electrical Power Generation Testing,48.70.00 - Electrical Power Generation Testing
48.71.00,Electrical Power Generation Test Equipment,48.71.00 - Electrical Power Generation Test Equipment
48.80.00,Unassigned,48.80.00 - Unassigned
48.90.00,Unassigned,48.90.00 - Unassigned
